tag,event_type,episodes,correct_first_trip,wrong_relay_first_trip,no_trip,correct_first_trip_rate,wrong_relay_first_trip_rate,no_trip_rate
combined_W48,flt_1phg_hif,6,4,1,1,0.6666666666666666,0.16666666666666666,0.16666666666666666
combined_W48,flt_1phg_hif_w_arc,7,7,0,0,1.0,0.0,0.0
combined_W48,flt_1phg_incipient,5,4,0,1,0.8,0.0,0.2
combined_W48,flt_1phg_incipient_w_arc,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333
combined_W48,flt_1phg_shc,41,41,0,0,1.0,0.0,0.0
combined_W48,flt_1phg_shc_w_arc,40,40,0,0,1.0,0.0,0.0
combined_W48,flt_2ph_shc,38,38,0,0,1.0,0.0,0.0
combined_W48,flt_2phg_shc,41,41,0,0,1.0,0.0,0.0
combined_W48,flt_3ph_shc,33,33,0,0,1.0,0.0,0.0
combined_W48_alpha0.1,flt_1phg_hif,6,2,0,4,0.3333333333333333,0.0,0.6666666666666666
combined_W48_alpha0.1,flt_1phg_hif_w_arc,7,5,1,1,0.7142857142857143,0.14285714285714285,0.14285714285714285
combined_W48_alpha0.1,flt_1phg_incipient,5,3,0,2,0.6,0.0,0.4
combined_W48_alpha0.1,flt_1phg_incipient_w_arc,3,0,0,3,0.0,0.0,1.0
combined_W48_alpha0.1,flt_1phg_shc,41,41,0,0,1.0,0.0,0.0
combined_W48_alpha0.1,flt_1phg_shc_w_arc,40,38,0,2,0.95,0.0,0.05
combined_W48_alpha0.1,flt_2ph_shc,38,38,0,0,1.0,0.0,0.0
combined_W48_alpha0.1,flt_2phg_shc,41,40,0,1,0.975609756097561,0.0,0.024390243902439025
combined_W48_alpha0.1,flt_3ph_shc,33,33,0,0,1.0,0.0,0.0
combined_W48_alpha0.9,flt_1phg_hif,6,5,1,0,0.8333333333333334,0.16666666666666666,0.0
combined_W48_alpha0.9,flt_1phg_hif_w_arc,7,7,0,0,1.0,0.0,0.0
combined_W48_alpha0.9,flt_1phg_incipient,5,3,1,1,0.6,0.2,0.2
combined_W48_alpha0.9,flt_1phg_incipient_w_arc,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333
combined_W48_alpha0.9,flt_1phg_shc,41,36,5,0,0.8780487804878049,0.12195121951219512,0.0
combined_W48_alpha0.9,flt_1phg_shc_w_arc,40,34,6,0,0.85,0.15,0.0
combined_W48_alpha0.9,flt_2ph_shc,38,37,1,0,0.9736842105263158,0.02631578947368421,0.0
combined_W48_alpha0.9,flt_2phg_shc,41,40,1,0,0.975609756097561,0.024390243902439025,0.0
combined_W48_alpha0.9,flt_3ph_shc,33,33,0,0,1.0,0.0,0.0
combined_W48_fp10,flt_1phg_hif,6,4,1,1,0.6666666666666666,0.16666666666666666,0.16666666666666666
combined_W48_fp10,flt_1phg_hif_w_arc,7,7,0,0,1.0,0.0,0.0
combined_W48_fp10,flt_1phg_incipient,5,4,0,1,0.8,0.0,0.2
combined_W48_fp10,flt_1phg_incipient_w_arc,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333
combined_W48_fp10,flt_1phg_shc,41,41,0,0,1.0,0.0,0.0
combined_W48_fp10,flt_1phg_shc_w_arc,40,40,0,0,1.0,0.0,0.0
