sim_idx,partition,event_type,event_target,is_fault
0,monitoring,flt_1phg_shc,MainLn1-2,True
1,optimization,flt_1phg_shc,MainLn1-2,True
2,optimization,flt_1phg_shc,MainLn1-2,True
3,monitoring,flt_1phg_shc,MainLn1-2,True
4,optimization,flt_1phg_shc,MainLn1-2,True
5,optimization,flt_1phg_shc,MainLn10-11,True
6,monitoring,flt_1phg_shc,MainLn10-11,True
7,optimization,flt_1phg_shc,MainLn10-11,True
8,optimization,flt_1phg_shc,MainLn10-11,True
9,monitoring,flt_1phg_shc,MainLn10-11,True
10,monitoring,flt_1phg_shc,MainLn12-13,True
11,optimization,flt_1phg_shc,MainLn12-13,True
12,optimization,flt_1phg_shc,MainLn12-13,True
13,optimization,flt_1phg_shc,MainLn12-13,True
14,optimization,flt_1phg_shc,MainLn12-13,True
15,optimization,flt_1phg_shc,MainLn13-14,True
16,optimization,flt_1phg_shc,MainLn13-14,True
17,evaluation,flt_1phg_shc,MainLn13-14,True
18,optimization,flt_1phg_shc,MainLn13-14,True
19,optimization,flt_1phg_shc,MainLn13-14,True
20,optimization,flt_1phg_shc,MainLn2-3,True
21,optimization,flt_1phg_shc,MainLn2-3,True
22,optimization,flt_1phg_shc,MainLn2-3,True
23,evaluation,flt_1phg_shc,MainLn2-3,True
24,optimization,flt_1phg_shc,MainLn2-3,True
25,optimization,flt_1phg_shc,MainLn3-4,True
26,evaluation,flt_1phg_shc,MainLn3-4,True
27,optimization,flt_1phg_shc,MainLn3-4,True
28,optimization,flt_1phg_shc,MainLn3-4,True
29,optimization,flt_1phg_shc,MainLn3-4,True
30,optimization,flt_1phg_shc,MainLn3-8,True
31,optimization,flt_1phg_shc,MainLn3-8,True
32,optimization,flt_1phg_shc,MainLn3-8,True
33,optimization,flt_1phg_shc,MainLn3-8,True
34,optimization,flt_1phg_shc,MainLn3-8,True
35,optimization,flt_1phg_shc,MainLn4-11,True
36,monitoring,flt_1phg_shc,MainLn4-11,True
37,optimization,flt_1phg_shc,MainLn4-11,True
38,optimization,flt_1phg_shc,MainLn4-11,True
39,optimization,flt_1phg_shc,MainLn4-11,True
40,optimization,flt_1phg_shc,MainLn4-5,True
41,optimization,flt_1phg_shc,MainLn4-5,True
42,optimization,flt_1phg_shc,MainLn4-5,True
43,optimization,flt_1phg_shc,MainLn4-5,True
44,optimization,flt_1phg_shc,MainLn4-5,True
45,optimization,flt_1phg_shc,MainLn5-6,True
46,optimization,flt_1phg_shc,MainLn5-6,True
47,optimization,flt_1phg_shc,MainLn5-6,True
48,optimization,flt_1phg_shc,MainLn5-6,True
49,optimization,flt_1phg_shc,MainLn5-6,True
50,optimization,flt_1phg_shc,MainLn6-7,True
51,evaluation,flt_1phg_shc,MainLn6-7,True
52,optimization,flt_1phg_shc,MainLn6-7,True
53,optimization,flt_1phg_shc,MainLn6-7,True
54,optimization,flt_1phg_shc,MainLn6-7,True
55,monitoring,flt_1phg_shc,MainLn7-8,True
56,optimization,flt_1phg_shc,MainLn7-8,True
57,optimization,flt_1phg_shc,MainLn7-8,True
58,optimization,flt_1phg_shc,MainLn7-8,True
59,optimization,flt_1phg_shc,MainLn7-8,True
60,optimization,flt_1phg_shc,MainLn8-14,True
61,monitoring,flt_1phg_shc,MainLn8-14,True
62,optimization,flt_1phg_shc,MainLn8-14,True
63,optimization,flt_1phg_shc,MainLn8-14,True
64,optimization,flt_1phg_shc,MainLn8-14,True
65,optimization,flt_1phg_shc,MainLn8-9,True
66,monitoring,flt_1phg_shc,MainLn8-9,True
67,optimization,flt_1phg_shc,MainLn8-9,True
68,optimization,flt_1phg_shc,MainLn8-9,True
69,monitoring,flt_1phg_shc,MainLn8-9,True
70,optimization,flt_1phg_shc,MainLn9-10,True
71,optimization,flt_1phg_shc,MainLn9-10,True
72,optimization,flt_1phg_shc,MainLn9-10,True
73,optimization,flt_1phg_shc,MainLn9-10,True
